params: 94M total / 56M active | mode=joint lambda_pred=0.1
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.998 | pred 2.146 | 589 tok/s
step    20 | lm 10.569 | pred 2.128 | 7666 tok/s
step    40 | lm 9.337 | pred 1.951 | 10895 tok/s
step    60 | lm 8.451 | pred 2.133 | 12753 tok/s
step    80 | lm 7.529 | pred 2.203 | 13949 tok/s
step   100 | lm 7.698 | pred 1.925 | 14805 tok/s
step   120 | lm 7.431 | pred 1.894 | 15421 tok/s
step   140 | lm 7.430 | pred 1.786 | 15896 tok/s
step   160 | lm 7.683 | pred 1.690 | 16273 tok/s
step   180 | lm 7.315 | pred 1.563 | 16595 tok/s
step   200 | lm 6.849 | pred 1.569 | 16863 tok/s
step   220 | lm 7.494 | pred 1.545 | 17089 tok/s
step   240 | lm 7.502 | pred 1.506 | 17281 tok/s
step   260 | lm 7.169 | pred 1.451 | 17440 tok/s
step   280 | lm 7.248 | pred 1.398 | 17584 tok/s
step   300 | lm 7.419 | pred 1.436 | 17711 tok/s
step   320 | lm 7.411 | pred 1.404 | 17819 tok/s
step   340 | lm 6.728 | pred 1.356 | 17927 tok/s
step   360 | lm 7.005 | pred 1.326 | 18023 tok/s
step   380 | lm 6.927 | pred 1.324 | 18109 tok/s
step   400 | lm 7.066 | pred 1.312 | 18184 tok/s
step   420 | lm 6.946 | pred 1.286 | 18251 tok/s
step   440 | lm 7.247 | pred 1.258 | 18312 tok/s
step   460 | lm 6.852 | pred 1.284 | 18372 tok/s
step   480 | lm 6.990 | pred 1.308 | 18424 tok/s
  eval step 500: lm 6.737 pred 1.267 hit@k [h1: 0.824 | h2: 0.807 | h4: 0.763]
step   500 | lm 6.346 | pred 1.223 | 18344 tok/s
step   520 | lm 6.624 | pred 1.250 | 18396 tok/s
step   540 | lm 6.757 | pred 1.227 | 18443 tok/s
step   560 | lm 6.903 | pred 1.221 | 18487 tok/s
step   580 | lm 6.897 | pred 1.244 | 18516 tok/s
step   600 | lm 6.923 | pred 1.231 | 18545 tok/s
step   620 | lm 6.693 | pred 1.203 | 18581 tok/s
step   640 | lm 6.738 | pred 1.202 | 18610 tok/s
step   660 | lm 6.978 | pred 1.227 | 18634 tok/s
step   680 | lm 6.388 | pred 1.190 | 18663 tok/s
step   700 | lm 6.719 | pred 1.223 | 18692 tok/s
step   720 | lm 6.537 | pred 1.223 | 18718 tok/s
