params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.998 | pred 2.146 | 614 tok/s
step    20 | lm 10.569 | pred 2.146 | 7859 tok/s
step    40 | lm 9.337 | pred 2.150 | 11104 tok/s
step    60 | lm 8.449 | pred 2.120 | 12941 tok/s
step    80 | lm 7.531 | pred 2.182 | 14119 tok/s
step   100 | lm 7.706 | pred 2.117 | 14936 tok/s
step   120 | lm 7.443 | pred 2.119 | 15545 tok/s
step   140 | lm 7.439 | pred 2.125 | 15972 tok/s
step   160 | lm 7.679 | pred 2.130 | 16314 tok/s
step   180 | lm 7.317 | pred 2.143 | 16614 tok/s
step   200 | lm 6.848 | pred 2.146 | 16875 tok/s
step   220 | lm 7.502 | pred 2.139 | 17093 tok/s
step   240 | lm 7.495 | pred 2.147 | 17288 tok/s
step   260 | lm 7.168 | pred 2.133 | 17450 tok/s
step   280 | lm 7.247 | pred 2.140 | 17592 tok/s
step   300 | lm 7.429 | pred 2.140 | 17722 tok/s
step   320 | lm 7.417 | pred 2.147 | 17838 tok/s
step   340 | lm 6.723 | pred 2.149 | 17941 tok/s
step   360 | lm 7.001 | pred 2.150 | 18036 tok/s
step   380 | lm 6.929 | pred 2.148 | 18123 tok/s
step   400 | lm 7.069 | pred 2.145 | 18198 tok/s
step   420 | lm 6.949 | pred 2.145 | 18265 tok/s
step   440 | lm 7.251 | pred 2.137 | 18327 tok/s
step   460 | lm 6.853 | pred 2.146 | 18384 tok/s
step   480 | lm 6.995 | pred 2.137 | 18435 tok/s
  eval step 500: lm 6.733 pred 2.142 hit@k [h1: 0.252 | h2: 0.257 | h4: 0.260]
step   500 | lm 6.338 | pred 2.144 | 18355 tok/s
step   520 | lm 6.618 | pred 2.143 | 18405 tok/s
step   540 | lm 6.750 | pred 2.147 | 18452 tok/s
step   560 | lm 6.900 | pred 2.143 | 18497 tok/s
step   580 | lm 6.889 | pred 2.138 | 18538 tok/s
step   600 | lm 6.920 | pred 2.139 | 18579 tok/s
step   620 | lm 6.692 | pred 2.139 | 18615 tok/s
step   640 | lm 6.728 | pred 2.144 | 18650 tok/s
step   660 | lm 6.977 | pred 2.146 | 18685 tok/s
step   680 | lm 6.382 | pred 2.145 | 18715 tok/s
step   700 | lm 6.716 | pred 2.145 | 18743 tok/s
step   720 | lm 6.532 | pred 2.149 | 18770 tok/s
step   740 | lm 7.232 | pred 2.145 | 18798 tok/s
step   760 | lm 6.628 | pred 2.139 | 18821 tok/s
