params: 94M total / 56M active | mode=joint lambda_pred=0.03
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.998 | pred 2.146 | 570 tok/s
step    20 | lm 10.569 | pred 2.129 | 7529 tok/s
step    40 | lm 9.338 | pred 1.958 | 10760 tok/s
step    60 | lm 8.450 | pred 2.112 | 12621 tok/s
step    80 | lm 7.529 | pred 2.225 | 13833 tok/s
step   100 | lm 7.703 | pred 1.963 | 14694 tok/s
step   120 | lm 7.442 | pred 1.965 | 15316 tok/s
step   140 | lm 7.437 | pred 1.792 | 15814 tok/s
step   160 | lm 7.678 | pred 1.720 | 16198 tok/s
step   180 | lm 7.315 | pred 1.593 | 16513 tok/s
step   200 | lm 6.847 | pred 1.590 | 16778 tok/s
step   220 | lm 7.500 | pred 1.528 | 17001 tok/s
step   240 | lm 7.499 | pred 1.521 | 17201 tok/s
step   260 | lm 7.167 | pred 1.454 | 17339 tok/s
step   280 | lm 7.246 | pred 1.458 | 17462 tok/s
step   300 | lm 7.432 | pred 1.466 | 17599 tok/s
step   320 | lm 7.408 | pred 1.443 | 17720 tok/s
step   340 | lm 6.726 | pred 1.397 | 17827 tok/s
step   360 | lm 7.003 | pred 1.361 | 17922 tok/s
step   380 | lm 6.922 | pred 1.347 | 18009 tok/s
step   400 | lm 7.067 | pred 1.330 | 18087 tok/s
step   420 | lm 6.945 | pred 1.325 | 18157 tok/s
step   440 | lm 7.248 | pred 1.291 | 18223 tok/s
step   460 | lm 6.848 | pred 1.357 | 18288 tok/s
step   480 | lm 6.990 | pred 1.324 | 18345 tok/s
  eval step 500: lm 6.735 pred 1.305 hit@k [h1: 0.804 | h2: 0.788 | h4: 0.747]
step   500 | lm 6.336 | pred 1.278 | 18268 tok/s
step   520 | lm 6.625 | pred 1.301 | 18322 tok/s
step   540 | lm 6.756 | pred 1.292 | 18365 tok/s
step   560 | lm 6.904 | pred 1.279 | 18412 tok/s
step   580 | lm 6.893 | pred 1.295 | 18455 tok/s
step   600 | lm 6.920 | pred 1.271 | 18496 tok/s
step   620 | lm 6.691 | pred 1.248 | 18534 tok/s
step   640 | lm 6.738 | pred 1.278 | 18570 tok/s
step   660 | lm 6.981 | pred 1.260 | 18604 tok/s
step   680 | lm 6.383 | pred 1.222 | 18628 tok/s
step   700 | lm 6.715 | pred 1.246 | 18652 tok/s
step   720 | lm 6.535 | pred 1.262 | 18678 tok/s
step   740 | lm 7.246 | pred 1.238 | 18708 tok/s
step   760 | lm 6.636 | pred 1.216 | 18733 tok/s
step   780 | lm 6.518 | pred 1.220 | 18755 tok/s
step   800 | lm 6.730 | pred 1.241 | 18779 tok/s
step   820 | lm 6.799 | pred 1.229 | 18802 tok/s
step   840 | lm 6.953 | pred 1.248 | 18822 tok/s
step   860 | lm 6.875 | pred 1.253 | 18843 tok/s
step   880 | lm 6.551 | pred 1.224 | 18863 tok/s
step   900 | lm 6.613 | pred 1.238 | 18884 tok/s
step   920 | lm 7.075 | pred 1.243 | 18895 tok/s
step   940 | lm 6.842 | pred 1.241 | 18904 tok/s
step   960 | lm 6.764 | pred 1.276 | 18915 tok/s
step   980 | lm 6.585 | pred 1.242 | 18931 tok/s
  eval step 1000: lm 6.612 pred 1.228 hit@k [h1: 0.847 | h2: 0.827 | h4: 0.776]
