params: 349M total / 107M active | mode=posthoc lambda_pred=1.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 6.106 | pred 1.259 | 5619 tok/s
step    20 | lm 5.799 | pred 1.154 | 25054 tok/s
step    40 | lm 5.785 | pred 1.046 | 28300 tok/s
step    60 | lm 5.605 | pred 0.947 | 29664 tok/s
step    80 | lm 5.811 | pred 0.912 | 30422 tok/s
step   100 | lm 5.716 | pred 0.871 | 30638 tok/s
step   120 | lm 6.179 | pred 0.873 | 30990 tok/s
step   140 | lm 5.678 | pred 0.832 | 31265 tok/s
step   160 | lm 5.564 | pred 0.798 | 31375 tok/s
step   180 | lm 5.567 | pred 0.795 | 31465 tok/s
step   200 | lm 5.529 | pred 0.784 | 31559 tok/s
step   220 | lm 5.563 | pred 0.763 | 31578 tok/s
step   240 | lm 5.648 | pred 0.740 | 31678 tok/s
step   260 | lm 5.756 | pred 0.753 | 31764 tok/s
step   280 | lm 5.512 | pred 0.703 | 31830 tok/s
step   300 | lm 5.852 | pred 0.720 | 31911 tok/s
step   320 | lm 5.634 | pred 0.721 | 31975 tok/s
step   340 | lm 5.571 | pred 0.702 | 32008 tok/s
step   360 | lm 5.935 | pred 0.709 | 32050 tok/s
step   380 | lm 6.067 | pred 0.700 | 32052 tok/s
step   400 | lm 5.712 | pred 0.696 | 32046 tok/s
step   420 | lm 5.590 | pred 0.697 | 32082 tok/s
step   440 | lm 5.867 | pred 0.695 | 32097 tok/s
step   460 | lm 5.686 | pred 0.686 | 32130 tok/s
step   480 | lm 5.882 | pred 0.677 | 32157 tok/s
  eval step 500: lm 5.914 pred 0.681 hit@k [h1: 0.876 | h2: 0.832 | h4: 0.759] | ent 2.265 persist 0.133 util_max 0.109
step   500 | lm 5.719 | pred 0.669 | 29492 tok/s
step   520 | lm 5.622 | pred 0.653 | 29610 tok/s
step   540 | lm 5.587 | pred 0.662 | 29710 tok/s
step   560 | lm 5.749 | pred 0.663 | 29797 tok/s
step   580 | lm 5.615 | pred 0.649 | 29893 tok/s
step   600 | lm 5.651 | pred 0.656 | 29983 tok/s
step   620 | lm 5.701 | pred 0.657 | 30065 tok/s
step   640 | lm 5.792 | pred 0.652 | 30146 tok/s
step   660 | lm 5.396 | pred 0.622 | 30221 tok/s
step   680 | lm 5.910 | pred 0.654 | 30290 tok/s
step   700 | lm 5.743 | pred 0.648 | 30358 tok/s
step   720 | lm 5.493 | pred 0.637 | 30420 tok/s
step   740 | lm 6.142 | pred 0.652 | 30483 tok/s
step   760 | lm 5.987 | pred 0.644 | 30543 tok/s
step   780 | lm 5.913 | pred 0.639 | 30597 tok/s
step   800 | lm 5.872 | pred 0.624 | 30650 tok/s
step   820 | lm 5.634 | pred 0.620 | 30700 tok/s
step   840 | lm 5.735 | pred 0.631 | 30748 tok/s
step   860 | lm 5.710 | pred 0.619 | 30797 tok/s
step   880 | lm 5.605 | pred 0.618 | 30840 tok/s
step   900 | lm 5.496 | pred 0.616 | 30883 tok/s
step   920 | lm 6.055 | pred 0.625 | 30924 tok/s
