params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.984 | pred 2.871 | 2546 tok/s
step    20 | lm 10.029 | pred 2.863 | 4714 tok/s
step    40 | lm 8.833 | pred 2.845 | 4886 tok/s
step    60 | lm 7.996 | pred 2.885 | 4944 tok/s
step    80 | lm 7.366 | pred 2.865 | 4990 tok/s
step   100 | lm 7.371 | pred 2.914 | 5012 tok/s
step   120 | lm 7.573 | pred 2.876 | 5031 tok/s
step   140 | lm 7.155 | pred 2.888 | 5043 tok/s
step   160 | lm 7.417 | pred 2.877 | 5050 tok/s
step   180 | lm 7.243 | pred 2.890 | 5058 tok/s
step   200 | lm 6.982 | pred 2.890 | 5062 tok/s
step   220 | lm 7.339 | pred 2.874 | 5055 tok/s
step   240 | lm 7.097 | pred 2.881 | 5034 tok/s
step   260 | lm 7.098 | pred 2.883 | 5019 tok/s
step   280 | lm 6.854 | pred 2.877 | 5025 tok/s
step   300 | lm 6.415 | pred 2.849 | 5029 tok/s
step   320 | lm 6.544 | pred 2.857 | 5031 tok/s
step   340 | lm 6.476 | pred 2.858 | 5036 tok/s
step   360 | lm 7.036 | pred 2.867 | 5041 tok/s
step   380 | lm 6.791 | pred 2.870 | 5045 tok/s
step   400 | lm 6.785 | pred 2.863 | 5048 tok/s
step   420 | lm 7.308 | pred 2.865 | 5052 tok/s
step   440 | lm 6.647 | pred 2.865 | 5056 tok/s
step   460 | lm 6.797 | pred 2.871 | 5058 tok/s
step   480 | lm 6.621 | pred 2.867 | 5061 tok/s
  eval step 500: lm 6.765 pred 2.866 hit@k [h1: 0.126 | h2: 0.116 | h4: 0.136] | ent 2.429 persist 0.112 util_max 0.117
step   500 | lm 6.620 | pred 2.868 | 5002 tok/s
step   520 | lm 6.797 | pred 2.871 | 5007 tok/s
step   540 | lm 6.731 | pred 2.876 | 5012 tok/s
step   560 | lm 6.913 | pred 2.872 | 5016 tok/s
step   580 | lm 6.789 | pred 2.867 | 5019 tok/s
step   600 | lm 7.076 | pred 2.882 | 5022 tok/s
step   620 | lm 6.768 | pred 2.876 | 5023 tok/s
step   640 | lm 6.794 | pred 2.865 | 5025 tok/s
step   660 | lm 6.626 | pred 2.864 | 5028 tok/s
step   680 | lm 6.560 | pred 2.872 | 5029 tok/s
step   700 | lm 6.731 | pred 2.869 | 5032 tok/s
step   720 | lm 7.400 | pred 2.867 | 5035 tok/s
step   740 | lm 6.879 | pred 2.861 | 5037 tok/s
step   760 | lm 6.661 | pred 2.860 | 5039 tok/s
step   780 | lm 6.876 | pred 2.858 | 5041 tok/s
step   800 | lm 6.577 | pred 2.868 | 5043 tok/s
step   820 | lm 6.732 | pred 2.859 | 5045 tok/s
step   840 | lm 6.540 | pred 2.863 | 5047 tok/s
step   860 | lm 7.619 | pred 2.866 | 5049 tok/s
step   880 | lm 6.078 | pred 2.857 | 5051 tok/s
step   900 | lm 6.778 | pred 2.862 | 5052 tok/s
step   920 | lm 6.476 | pred 2.858 | 5054 tok/s
step   940 | lm 6.648 | pred 2.859 | 5055 tok/s
step   960 | lm 6.084 | pred 2.853 | 5057 tok/s
step   980 | lm 6.509 | pred 2.864 | 5058 tok/s
  eval step 1000: lm 6.504 pred 2.863 hit@k [h1: 0.125 | h2: 0.124 | h4: 0.128] | ent 2.404 persist 0.110 util_max 0.107
step  1000 | lm 6.669 | pred 2.863 | 5028 tok/s
step  1020 | lm 6.743 | pred 2.860 | 5029 tok/s
step  1040 | lm 6.468 | pred 2.853 | 5030 tok/s
step  1060 | lm 6.382 | pred 2.857 | 5031 tok/s
step  1080 | lm 6.691 | pred 2.866 | 5033 tok/s
step  1100 | lm 6.691 | pred 2.865 | 5034 tok/s
step  1120 | lm 6.503 | pred 2.867 | 5036 tok/s
step  1140 | lm 6.426 | pred 2.862 | 5037 tok/s
step  1160 | lm 6.544 | pred 2.859 | 5039 tok/s
step  1180 | lm 6.345 | pred 2.864 | 5040 tok/s
step  1200 | lm 6.301 | pred 2.859 | 5042 tok/s
step  1220 | lm 6.099 | pred 2.869 | 5043 tok/s
step  1240 | lm 6.478 | pred 2.862 | 5044 tok/s
step  1260 | lm 6.436 | pred 2.857 | 5045 tok/s
step  1280 | lm 6.243 | pred 2.861 | 5047 tok/s
step  1300 | lm 6.037 | pred 2.865 | 5048 tok/s
step  1320 | lm 6.578 | pred 2.862 | 5049 tok/s
step  1340 | lm 7.056 | pred 2.859 | 5050 tok/s
step  1360 | lm 6.284 | pred 2.858 | 5050 tok/s
step  1380 | lm 6.474 | pred 2.854 | 5051 tok/s
step  1400 | lm 6.868 | pred 2.859 | 5052 tok/s
step  1420 | lm 6.360 | pred 2.864 | 5052 tok/s
step  1440 | lm 6.025 | pred 2.861 | 5053 tok/s
step  1460 | lm 6.356 | pred 2.870 | 5054 tok/s
step  1480 | lm 6.603 | pred 2.868 | 5055 tok/s
  eval step 1500: lm 6.419 pred 2.859 hit@k [h1: 0.124 | h2: 0.123 | h4: 0.129] | ent 2.353 persist 0.110 util_max 0.118
step  1500 | lm 6.141 | pred 2.858 | 5035 tok/s
step  1520 | lm 6.359 | pred 2.855 | 5037 tok/s
step  1540 | lm 6.217 | pred 2.857 | 5038 tok/s
step  1560 | lm 6.486 | pred 2.863 | 5039 tok/s
step  1580 | lm 6.513 | pred 2.858 | 5040 tok/s
step  1600 | lm 5.936 | pred 2.859 | 5041 tok/s
step  1620 | lm 6.496 | pred 2.861 | 5042 tok/s
step  1640 | lm 6.432 | pred 2.859 | 5043 tok/s
step  1660 | lm 6.121 | pred 2.857 | 5044 tok/s
