params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 11.011 | pred 2.869 | 549 tok/s
step    20 | lm 9.987 | pred 2.857 | 3643 tok/s
step    40 | lm 8.892 | pred 2.846 | 4241 tok/s
step    60 | lm 7.967 | pred 2.858 | 4499 tok/s
step    80 | lm 7.399 | pred 2.840 | 4640 tok/s
step   100 | lm 7.580 | pred 2.868 | 4729 tok/s
step   120 | lm 7.293 | pred 2.863 | 4791 tok/s
step   140 | lm 7.291 | pred 2.865 | 4834 tok/s
step   160 | lm 7.539 | pred 2.870 | 4869 tok/s
step   180 | lm 7.191 | pred 2.871 | 4897 tok/s
step   200 | lm 6.631 | pred 2.858 | 4919 tok/s
step   220 | lm 7.399 | pred 2.863 | 4936 tok/s
step   240 | lm 7.414 | pred 2.880 | 4949 tok/s
step   260 | lm 7.051 | pred 2.868 | 4962 tok/s
step   280 | lm 7.133 | pred 2.866 | 4974 tok/s
step   300 | lm 7.310 | pred 2.873 | 4984 tok/s
step   320 | lm 7.278 | pred 2.872 | 4992 tok/s
step   340 | lm 6.550 | pred 2.876 | 4998 tok/s
step   360 | lm 6.879 | pred 2.877 | 5005 tok/s
step   380 | lm 6.764 | pred 2.877 | 5008 tok/s
step   400 | lm 6.947 | pred 2.874 | 5015 tok/s
step   420 | lm 6.820 | pred 2.872 | 5020 tok/s
step   440 | lm 7.149 | pred 2.874 | 5025 tok/s
step   460 | lm 6.739 | pred 2.873 | 5029 tok/s
step   480 | lm 6.882 | pred 2.864 | 5032 tok/s
  eval step 500: lm 6.625 pred 2.871 hit@k [h1: 0.130 | h2: 0.126 | h4: 0.117]
step   500 | lm 6.263 | pred 2.867 | 5016 tok/s
step   520 | lm 6.506 | pred 2.869 | 5021 tok/s
step   540 | lm 6.603 | pred 2.869 | 5025 tok/s
step   560 | lm 6.798 | pred 2.868 | 5029 tok/s
step   580 | lm 6.765 | pred 2.868 | 5032 tok/s
step   600 | lm 6.768 | pred 2.872 | 5034 tok/s
step   620 | lm 6.548 | pred 2.868 | 5037 tok/s
step   640 | lm 6.604 | pred 2.875 | 5040 tok/s
step   660 | lm 6.827 | pred 2.874 | 5043 tok/s
step   680 | lm 6.268 | pred 2.867 | 5045 tok/s
step   700 | lm 6.629 | pred 2.870 | 5048 tok/s
step   720 | lm 6.436 | pred 2.866 | 5050 tok/s
step   740 | lm 7.134 | pred 2.866 | 5051 tok/s
step   760 | lm 6.535 | pred 2.866 | 5052 tok/s
