params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.990 | pred 2.870 | 2507 tok/s
step    20 | lm 10.044 | pred 2.855 | 4847 tok/s
step    40 | lm 8.871 | pred 2.845 | 4981 tok/s
step    60 | lm 8.007 | pred 2.834 | 5033 tok/s
step    80 | lm 7.368 | pred 2.885 | 5057 tok/s
step   100 | lm 7.361 | pred 2.846 | 5071 tok/s
step   120 | lm 7.574 | pred 2.859 | 5079 tok/s
step   140 | lm 7.151 | pred 2.857 | 5085 tok/s
step   160 | lm 7.415 | pred 2.855 | 5090 tok/s
step   180 | lm 7.252 | pred 2.845 | 5094 tok/s
step   200 | lm 6.976 | pred 2.857 | 5098 tok/s
step   220 | lm 7.363 | pred 2.873 | 5099 tok/s
step   240 | lm 7.091 | pred 2.857 | 5102 tok/s
step   260 | lm 7.102 | pred 2.858 | 5102 tok/s
step   280 | lm 6.849 | pred 2.858 | 5102 tok/s
step   300 | lm 6.423 | pred 2.867 | 5100 tok/s
step   320 | lm 6.564 | pred 2.869 | 5100 tok/s
step   340 | lm 6.477 | pred 2.871 | 5102 tok/s
step   360 | lm 7.029 | pred 2.873 | 5103 tok/s
step   380 | lm 6.789 | pred 2.866 | 5105 tok/s
step   400 | lm 6.798 | pred 2.875 | 5106 tok/s
step   420 | lm 7.290 | pred 2.866 | 5107 tok/s
step   440 | lm 6.651 | pred 2.872 | 5108 tok/s
step   460 | lm 6.800 | pred 2.865 | 5109 tok/s
step   480 | lm 6.635 | pred 2.870 | 5109 tok/s
  eval step 500: lm 6.764 pred 2.866 hit@k [h1: 0.118 | h2: 0.131 | h4: 0.131] | ent 2.419 persist 0.131 util_max 0.125
step   500 | lm 6.615 | pred 2.866 | 5047 tok/s
step   520 | lm 6.783 | pred 2.863 | 5050 tok/s
step   540 | lm 6.752 | pred 2.868 | 5053 tok/s
step   560 | lm 6.916 | pred 2.871 | 5056 tok/s
step   580 | lm 6.781 | pred 2.867 | 5059 tok/s
step   600 | lm 7.074 | pred 2.864 | 5060 tok/s
step   620 | lm 6.788 | pred 2.880 | 5062 tok/s
step   640 | lm 6.787 | pred 2.880 | 5063 tok/s
step   660 | lm 6.640 | pred 2.876 | 5065 tok/s
step   680 | lm 6.558 | pred 2.870 | 5065 tok/s
step   700 | lm 6.713 | pred 2.874 | 5066 tok/s
step   720 | lm 7.409 | pred 2.871 | 5068 tok/s
step   740 | lm 6.883 | pred 2.869 | 5070 tok/s
step   760 | lm 6.676 | pred 2.867 | 5071 tok/s
step   780 | lm 6.880 | pred 2.872 | 5073 tok/s
step   800 | lm 6.564 | pred 2.865 | 5074 tok/s
step   820 | lm 6.753 | pred 2.863 | 5076 tok/s
step   840 | lm 6.532 | pred 2.865 | 5077 tok/s
step   860 | lm 7.603 | pred 2.865 | 5078 tok/s
step   880 | lm 6.085 | pred 2.869 | 5079 tok/s
step   900 | lm 6.763 | pred 2.863 | 5081 tok/s
step   920 | lm 6.481 | pred 2.865 | 5081 tok/s
step   940 | lm 6.652 | pred 2.869 | 5082 tok/s
step   960 | lm 6.105 | pred 2.870 | 5083 tok/s
step   980 | lm 6.518 | pred 2.867 | 5084 tok/s
  eval step 1000: lm 6.503 pred 2.870 hit@k [h1: 0.119 | h2: 0.127 | h4: 0.124] | ent 2.409 persist 0.135 util_max 0.120
step  1000 | lm 6.661 | pred 2.871 | 5052 tok/s
step  1020 | lm 6.754 | pred 2.869 | 5054 tok/s
step  1040 | lm 6.483 | pred 2.869 | 5055 tok/s
step  1060 | lm 6.380 | pred 2.872 | 5055 tok/s
step  1080 | lm 6.665 | pred 2.877 | 5057 tok/s
step  1100 | lm 6.684 | pred 2.871 | 5058 tok/s
step  1120 | lm 6.524 | pred 2.866 | 5059 tok/s
step  1140 | lm 6.438 | pred 2.868 | 5061 tok/s
step  1160 | lm 6.554 | pred 2.864 | 5062 tok/s
step  1180 | lm 6.357 | pred 2.869 | 5063 tok/s
step  1200 | lm 6.296 | pred 2.870 | 5064 tok/s
step  1220 | lm 6.098 | pred 2.872 | 5065 tok/s
step  1240 | lm 6.497 | pred 2.873 | 5066 tok/s
step  1260 | lm 6.430 | pred 2.866 | 5067 tok/s
step  1280 | lm 6.254 | pred 2.869 | 5068 tok/s
step  1300 | lm 6.033 | pred 2.863 | 5069 tok/s
step  1320 | lm 6.588 | pred 2.866 | 5070 tok/s
step  1340 | lm 7.062 | pred 2.865 | 5071 tok/s
step  1360 | lm 6.281 | pred 2.864 | 5072 tok/s
step  1380 | lm 6.485 | pred 2.863 | 5072 tok/s
step  1400 | lm 6.870 | pred 2.866 | 5073 tok/s
step  1420 | lm 6.342 | pred 2.863 | 5073 tok/s
step  1440 | lm 6.032 | pred 2.867 | 5073 tok/s
step  1460 | lm 6.358 | pred 2.859 | 5074 tok/s
step  1480 | lm 6.616 | pred 2.862 | 5075 tok/s
  eval step 1500: lm 6.417 pred 2.867 hit@k [h1: 0.124 | h2: 0.128 | h4: 0.126] | ent 2.349 persist 0.125 util_max 0.120
step  1500 | lm 6.140 | pred 2.868 | 5055 tok/s
step  1520 | lm 6.356 | pred 2.868 | 5056 tok/s
step  1540 | lm 6.221 | pred 2.871 | 5057 tok/s
step  1560 | lm 6.494 | pred 2.864 | 5058 tok/s
step  1580 | lm 6.510 | pred 2.868 | 5059 tok/s
step  1600 | lm 5.932 | pred 2.866 | 5060 tok/s
step  1620 | lm 6.505 | pred 2.869 | 5061 tok/s
step  1640 | lm 6.465 | pred 2.864 | 5062 tok/s
step  1660 | lm 6.110 | pred 2.865 | 5062 tok/s
step  1680 | lm 6.515 | pred 2.860 | 5063 tok/s
step  1700 | lm 6.373 | pred 2.866 | 5064 tok/s
step  1720 | lm 6.205 | pred 2.865 | 5065 tok/s
step  1740 | lm 6.732 | pred 2.869 | 5065 tok/s
step  1760 | lm 6.944 | pred 2.861 | 5066 tok/s
step  1780 | lm 5.791 | pred 2.872 | 5066 tok/s
step  1800 | lm 6.365 | pred 2.868 | 5067 tok/s
step  1820 | lm 6.015 | pred 2.868 | 5068 tok/s
step  1840 | lm 6.569 | pred 2.864 | 5068 tok/s
step  1860 | lm 6.086 | pred 2.868 | 5069 tok/s
step  1880 | lm 6.393 | pred 2.868 | 5069 tok/s
step  1900 | lm 6.367 | pred 2.864 | 5070 tok/s
step  1920 | lm 6.015 | pred 2.866 | 5070 tok/s
step  1940 | lm 6.546 | pred 2.865 | 5071 tok/s
step  1960 | lm 6.447 | pred 2.868 | 5071 tok/s
step  1980 | lm 5.963 | pred 2.869 | 5072 tok/s
  eval step 2000: lm 6.281 pred 2.870 hit@k [h1: 0.123 | h2: 0.125 | h4: 0.120] | ent 2.348 persist 0.132 util_max 0.113
step  2000 | lm 6.221 | pred 2.873 | 5057 tok/s
step  2020 | lm 6.026 | pred 2.870 | 5058 tok/s
step  2040 | lm 6.360 | pred 2.867 | 5058 tok/s
step  2060 | lm 6.425 | pred 2.870 | 5059 tok/s
step  2080 | lm 6.502 | pred 2.862 | 5060 tok/s
step  2100 | lm 5.907 | pred 2.867 | 5061 tok/s
step  2120 | lm 6.103 | pred 2.864 | 5061 tok/s
step  2140 | lm 6.260 | pred 2.866 | 5061 tok/s
step  2160 | lm 6.243 | pred 2.857 | 5062 tok/s
step  2180 | lm 5.837 | pred 2.854 | 5063 tok/s
step  2200 | lm 6.199 | pred 2.864 | 5063 tok/s
step  2220 | lm 6.510 | pred 2.870 | 5064 tok/s
step  2240 | lm 5.973 | pred 2.864 | 5064 tok/s
step  2260 | lm 6.460 | pred 2.865 | 5064 tok/s
step  2280 | lm 6.251 | pred 2.868 | 5065 tok/s
step  2300 | lm 6.520 | pred 2.865 | 5065 tok/s
step  2320 | lm 6.175 | pred 2.867 | 5066 tok/s
step  2340 | lm 5.638 | pred 2.871 | 5067 tok/s
step  2360 | lm 5.805 | pred 2.864 | 5067 tok/s
step  2380 | lm 5.979 | pred 2.868 | 5068 tok/s
step  2400 | lm 6.482 | pred 2.869 | 5068 tok/s
step  2420 | lm 5.970 | pred 2.871 | 5069 tok/s
step  2440 | lm 6.150 | pred 2.863 | 5069 tok/s
step  2460 | lm 5.885 | pred 2.868 | 5070 tok/s
step  2480 | lm 6.178 | pred 2.869 | 5070 tok/s
  eval step 2500: lm 6.145 pred 2.871 hit@k [h1: 0.122 | h2: 0.121 | h4: 0.121] | ent 2.340 persist 0.131 util_max 0.112
step  2500 | lm 6.517 | pred 2.872 | 5058 tok/s
step  2520 | lm 6.241 | pred 2.871 | 5058 tok/s
step  2540 | lm 6.177 | pred 2.870 | 5059 tok/s
step  2560 | lm 6.110 | pred 2.867 | 5060 tok/s
step  2580 | lm 6.103 | pred 2.865 | 5060 tok/s
step  2600 | lm 6.075 | pred 2.864 | 5061 tok/s
step  2620 | lm 6.122 | pred 2.868 | 5061 tok/s
step  2640 | lm 6.445 | pred 2.869 | 5062 tok/s
step  2660 | lm 6.001 | pred 2.866 | 5062 tok/s
step  2680 | lm 6.166 | pred 2.868 | 5062 tok/s
step  2700 | lm 6.270 | pred 2.867 | 5063 tok/s
