params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.998 | pred 2.149 | 649 tok/s
step    20 | lm 10.569 | pred 2.149 | 8207 tok/s
step    40 | lm 9.337 | pred 2.164 | 11520 tok/s
step    60 | lm 8.449 | pred 2.066 | 13366 tok/s
step    80 | lm 7.531 | pred 2.221 | 14540 tok/s
step   100 | lm 7.706 | pred 2.131 | 15364 tok/s
step   120 | lm 7.443 | pred 2.139 | 15957 tok/s
step   140 | lm 7.439 | pred 2.119 | 16418 tok/s
step   160 | lm 7.679 | pred 2.117 | 16791 tok/s
step   180 | lm 7.317 | pred 2.153 | 17110 tok/s
step   200 | lm 6.848 | pred 2.157 | 17373 tok/s
step   220 | lm 7.502 | pred 2.144 | 17596 tok/s
step   240 | lm 7.495 | pred 2.167 | 17783 tok/s
  eval step 250: lm 7.177 pred 2.145 hit@k [h1: 0.253]
step   260 | lm 7.126 | pred 2.135 | 17673 tok/s
step   280 | lm 7.205 | pred 2.132 | 17806 tok/s
step   300 | lm 6.867 | pred 2.139 | 17941 tok/s
step   320 | lm 7.381 | pred 2.150 | 18067 tok/s
step   340 | lm 7.426 | pred 2.139 | 18178 tok/s
step   360 | lm 7.210 | pred 2.147 | 18278 tok/s
step   380 | lm 6.828 | pred 2.141 | 18369 tok/s
step   400 | lm 7.053 | pred 2.138 | 18451 tok/s
step   420 | lm 6.838 | pred 2.139 | 18526 tok/s
step   440 | lm 7.231 | pred 2.142 | 18595 tok/s
step   460 | lm 7.018 | pred 2.140 | 18660 tok/s
step   480 | lm 7.262 | pred 2.147 | 18719 tok/s
  eval step 500: lm 6.607 pred 2.146 hit@k [h1: 0.257]
step   500 | lm 7.007 | pred 2.144 | 18640 tok/s
step   520 | lm 6.950 | pred 2.139 | 18696 tok/s
step   540 | lm 6.749 | pred 2.144 | 18746 tok/s
step   560 | lm 7.650 | pred 2.143 | 18794 tok/s
step   580 | lm 7.084 | pred 2.141 | 18839 tok/s
step   600 | lm 6.972 | pred 2.147 | 18881 tok/s
step   620 | lm 6.705 | pred 2.146 | 18922 tok/s
step   640 | lm 7.215 | pred 2.140 | 18957 tok/s
step   660 | lm 6.865 | pred 2.141 | 18991 tok/s
step   680 | lm 6.539 | pred 2.140 | 19022 tok/s
step   700 | lm 6.699 | pred 2.137 | 19051 tok/s
step   720 | lm 6.870 | pred 2.148 | 19082 tok/s
step   740 | lm 7.013 | pred 2.147 | 19111 tok/s
  eval step 750: lm 6.607 pred 2.137 hit@k [h1: 0.257]
step   760 | lm 7.071 | pred 2.139 | 19049 tok/s
step   780 | lm 6.803 | pred 2.131 | 19077 tok/s
step   800 | lm 6.747 | pred 2.141 | 19105 tok/s
step   820 | lm 7.145 | pred 2.142 | 19131 tok/s
step   840 | lm 6.467 | pred 2.139 | 19153 tok/s
step   860 | lm 7.387 | pred 2.149 | 19178 tok/s
step   880 | lm 6.381 | pred 2.135 | 19201 tok/s
step   900 | lm 6.434 | pred 2.142 | 19224 tok/s
step   920 | lm 6.611 | pred 2.152 | 19243 tok/s
