params: 94M total / 56M active | mode=joint lambda_pred=0.1
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step     0 | lm 10.998 | pred 2.149 | 542 tok/s
step    20 | lm 10.569 | pred 2.130 | 7336 tok/s
step    40 | lm 9.338 | pred 1.924 | 10614 tok/s
step    60 | lm 8.451 | pred 2.136 | 12541 tok/s
step    80 | lm 7.530 | pred 2.139 | 13817 tok/s
step   100 | lm 7.698 | pred 1.987 | 14722 tok/s
step   120 | lm 7.437 | pred 1.843 | 15379 tok/s
step   140 | lm 7.431 | pred 1.736 | 15911 tok/s
step   160 | lm 7.686 | pred 1.604 | 16332 tok/s
step   180 | lm 7.316 | pred 1.507 | 16689 tok/s
step   200 | lm 6.856 | pred 1.495 | 16983 tok/s
step   220 | lm 7.496 | pred 1.510 | 17230 tok/s
step   240 | lm 7.514 | pred 1.450 | 17445 tok/s
  eval step 250: lm 7.163 pred 1.402 hit@k [h1: 0.718]
step   260 | lm 7.119 | pred 1.388 | 17414 tok/s
step   280 | lm 7.213 | pred 1.321 | 17581 tok/s
step   300 | lm 6.870 | pred 1.374 | 17732 tok/s
step   320 | lm 7.378 | pred 1.315 | 17869 tok/s
step   340 | lm 7.426 | pred 1.316 | 17992 tok/s
step   360 | lm 7.207 | pred 1.280 | 18100 tok/s
step   380 | lm 6.839 | pred 1.275 | 18199 tok/s
step   400 | lm 7.054 | pred 1.241 | 18291 tok/s
step   420 | lm 6.844 | pred 1.259 | 18375 tok/s
step   440 | lm 7.232 | pred 1.239 | 18449 tok/s
step   460 | lm 7.024 | pred 1.252 | 18519 tok/s
step   480 | lm 7.268 | pred 1.238 | 18584 tok/s
  eval step 500: lm 6.611 pred 1.206 hit@k [h1: 0.833]
step   500 | lm 7.013 | pred 1.235 | 18511 tok/s
step   520 | lm 6.955 | pred 1.196 | 18575 tok/s
step   540 | lm 6.761 | pred 1.213 | 18629 tok/s
step   560 | lm 7.651 | pred 1.231 | 18682 tok/s
step   580 | lm 7.086 | pred 1.192 | 18731 tok/s
step   600 | lm 6.977 | pred 1.167 | 18778 tok/s
step   620 | lm 6.704 | pred 1.167 | 18823 tok/s
step   640 | lm 7.207 | pred 1.225 | 18866 tok/s
step   660 | lm 6.859 | pred 1.182 | 18887 tok/s
step   680 | lm 6.539 | pred 1.142 | 18918 tok/s
step   700 | lm 6.703 | pred 1.155 | 18953 tok/s
step   720 | lm 6.878 | pred 1.185 | 18987 tok/s
step   740 | lm 7.011 | pred 1.172 | 19017 tok/s
  eval step 750: lm 6.614 pred 1.162 hit@k [h1: 0.856]
step   760 | lm 7.077 | pred 1.166 | 18956 tok/s
step   780 | lm 6.811 | pred 1.152 | 18987 tok/s
step   800 | lm 6.746 | pred 1.138 | 19015 tok/s
step   820 | lm 7.147 | pred 1.166 | 19042 tok/s
step   840 | lm 6.469 | pred 1.134 | 19069 tok/s
step   860 | lm 7.411 | pred 1.156 | 19096 tok/s
step   880 | lm 6.387 | pred 1.132 | 19119 tok/s
step   900 | lm 6.438 | pred 1.131 | 19142 tok/s
step   920 | lm 6.621 | pred 1.131 | 19164 tok/s
step   940 | lm 7.046 | pred 1.136 | 19183 tok/s
step   960 | lm 6.793 | pred 1.130 | 19204 tok/s
step   980 | lm 7.050 | pred 1.164 | 19224 tok/s
  eval step 1000: lm 6.772 pred 1.126 hit@k [h1: 0.872]
step  1000 | lm 6.901 | pred 1.146 | 19175 tok/s
step  1020 | lm 6.558 | pred 1.110 | 19195 tok/s
step  1040 | lm 6.116 | pred 1.111 | 19214 tok/s
step  1060 | lm 6.810 | pred 1.133 | 19234 tok/s
step  1080 | lm 6.511 | pred 1.122 | 19251 tok/s
step  1100 | lm 6.561 | pred 1.126 | 19268 tok/s
step  1120 | lm 6.633 | pred 1.131 | 19285 tok/s
step  1140 | lm 6.598 | pred 1.121 | 19301 tok/s
step  1160 | lm 6.661 | pred 1.128 | 19312 tok/s
step  1180 | lm 6.446 | pred 1.113 | 19320 tok/s
step  1200 | lm 6.562 | pred 1.108 | 19329 tok/s
step  1220 | lm 6.681 | pred 1.128 | 19345 tok/s
step  1240 | lm 5.850 | pred 1.097 | 19357 tok/s
  eval step 1250: lm 6.474 pred 1.119 hit@k [h1: 0.878]
step  1260 | lm 6.462 | pred 1.097 | 19315 tok/s
step  1280 | lm 6.668 | pred 1.134 | 19330 tok/s
step  1300 | lm 6.538 | pred 1.132 | 19342 tok/s
step  1320 | lm 6.625 | pred 1.108 | 19353 tok/s
step  1340 | lm 6.542 | pred 1.124 | 19365 tok/s
step  1360 | lm 6.367 | pred 1.106 | 19378 tok/s
step  1380 | lm 6.250 | pred 1.105 | 19389 tok/s
step  1400 | lm 6.389 | pred 1.113 | 19400 tok/s
step  1420 | lm 7.324 | pred 1.117 | 19411 tok/s
step  1440 | lm 6.604 | pred 1.128 | 19422 tok/s
step  1460 | lm 6.928 | pred 1.125 | 19432 tok/s
step  1480 | lm 6.688 | pred 1.119 | 19442 tok/s
  eval step 1500: lm 6.453 pred 1.104 hit@k [h1: 0.886]
step  1500 | lm 7.001 | pred 1.133 | 19404 tok/s
step  1520 | lm 6.556 | pred 1.098 | 19414 tok/s
step  1540 | lm 7.190 | pred 1.125 | 19424 tok/s
step  1560 | lm 6.335 | pred 1.100 | 19434 tok/s
step  1580 | lm 6.828 | pred 1.120 | 19444 tok/s
step  1600 | lm 6.388 | pred 1.095 | 19453 tok/s
step  1620 | lm 6.461 | pred 1.097 | 19463 tok/s
step  1640 | lm 6.397 | pred 1.112 | 19472 tok/s
step  1660 | lm 6.590 | pred 1.110 | 19481 tok/s
step  1680 | lm 6.707 | pred 1.094 | 19489 tok/s
step  1700 | lm 6.126 | pred 1.092 | 19497 tok/s
step  1720 | lm 6.403 | pred 1.093 | 19505 tok/s
step  1740 | lm 6.384 | pred 1.096 | 19513 tok/s
  eval step 1750: lm 6.862 pred 1.112 hit@k [h1: 0.881]
step  1760 | lm 6.580 | pred 1.116 | 19479 tok/s
step  1780 | lm 6.578 | pred 1.103 | 19487 tok/s
step  1800 | lm 6.072 | pred 1.089 | 19496 tok/s
step  1820 | lm 6.355 | pred 1.088 | 19502 tok/s
step  1840 | lm 6.757 | pred 1.122 | 19510 tok/s
step  1860 | lm 6.323 | pred 1.099 | 19518 tok/s
step  1880 | lm 6.526 | pred 1.111 | 19526 tok/s
step  1900 | lm 6.206 | pred 1.080 | 19532 tok/s
step  1920 | lm 6.090 | pred 1.091 | 19540 tok/s
step  1940 | lm 6.222 | pred 1.092 | 19548 tok/s
step  1960 | lm 6.278 | pred 1.082 | 19555 tok/s
step  1980 | lm 6.459 | pred 1.103 | 19562 tok/s
  eval step 2000: lm 6.406 pred 1.094 hit@k [h1: 0.887]
step  2000 | lm 6.593 | pred 1.104 | 19533 tok/s
step  2020 | lm 6.241 | pred 1.088 | 19539 tok/s
step  2040 | lm 5.748 | pred 1.081 | 19546 tok/s
step  2060 | lm 6.233 | pred 1.093 | 19551 tok/s
step  2080 | lm 6.339 | pred 1.090 | 19558 tok/s
step  2100 | lm 6.645 | pred 1.106 | 19563 tok/s
step  2120 | lm 6.847 | pred 1.104 | 19564 tok/s
step  2140 | lm 6.401 | pred 1.106 | 19568 tok/s
step  2160 | lm 6.538 | pred 1.115 | 19574 tok/s
step  2180 | lm 6.473 | pred 1.114 | 19578 tok/s
step  2200 | lm 5.955 | pred 1.090 | 19584 tok/s
step  2220 | lm 6.248 | pred 1.098 | 19589 tok/s
step  2240 | lm 6.490 | pred 1.107 | 19595 tok/s
  eval step 2250: lm 6.358 pred 1.094 hit@k [h1: 0.888]
step  2260 | lm 6.532 | pred 1.097 | 19568 tok/s
step  2280 | lm 6.255 | pred 1.098 | 19574 tok/s
step  2300 | lm 6.376 | pred 1.085 | 19580 tok/s
step  2320 | lm 6.248 | pred 1.113 | 19586 tok/s
step  2340 | lm 6.022 | pred 1.101 | 19590 tok/s
step  2360 | lm 6.436 | pred 1.109 | 19592 tok/s
step  2380 | lm 6.514 | pred 1.133 | 19595 tok/s
step  2400 | lm 6.145 | pred 1.104 | 19600 tok/s
step  2420 | lm 6.460 | pred 1.096 | 19605 tok/s
