Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 3 files:   0%|          | 0/3 [00:00<?, ?it/s]Fetching 3 files: 100%|██████████| 3/3 [00:00<00:00, 26546.23it/s]
Loading weights:   0%|          | 0/179 [00:00<?, ?it/s]Loading weights:   3%|▎         | 5/179 [00:00<00:04, 38.77it/s]Loading weights:  15%|█▍        | 26/179 [00:00<00:04, 37.98it/s]Loading weights:  17%|█▋        | 30/179 [00:00<00:04, 35.83it/s]Loading weights:  27%|██▋       | 49/179 [00:01<00:03, 35.95it/s]Loading weights:  33%|███▎      | 59/179 [00:01<00:03, 37.78it/s]Loading weights:  40%|███▉      | 71/179 [00:01<00:02, 48.22it/s]Loading weights:  52%|█████▏    | 93/179 [00:01<00:01, 70.88it/s]Loading weights:  58%|█████▊    | 104/179 [00:02<00:01, 59.52it/s]Loading weights:  70%|███████   | 126/179 [00:02<00:00, 79.84it/s]Loading weights:  83%|████████▎ | 148/179 [00:02<00:00, 72.97it/s]Loading weights:  95%|█████████▍| 170/179 [00:02<00:00, 91.64it/s]Loading weights: 100%|██████████| 179/179 [00:02<00:00, 65.58it/s]
mode=joint lambda_pred=0.0 horizons=(1, 2, 4) | trainable 11.7M / 7.05B
step     0 | lm 9.457 | pred 4.268 | 224 tok/s
step    20 | lm 10.241 | pred 4.279 | 982 tok/s
step    40 | lm 9.251 | pred 4.278 | 1088 tok/s
step    60 | lm 7.170 | pred 4.273 | 1133 tok/s
step    80 | lm 5.815 | pred 4.277 | 1157 tok/s
step   100 | lm 5.517 | pred 4.272 | 1171 tok/s
step   120 | lm 5.280 | pred 4.284 | 1181 tok/s
step   140 | lm 5.148 | pred 4.279 | 1189 tok/s
step   160 | lm 5.216 | pred 4.277 | 1194 tok/s
step   180 | lm 4.905 | pred 4.271 | 1199 tok/s
step   200 | lm 5.117 | pred 4.273 | 1203 tok/s
step   220 | lm 5.247 | pred 4.275 | 1206 tok/s
step   240 | lm 5.319 | pred 4.270 | 1209 tok/s
step   260 | lm 4.624 | pred 4.282 | 1212 tok/s
step   280 | lm 5.221 | pred 4.271 | 1213 tok/s
step   300 | lm 5.647 | pred 4.263 | 1215 tok/s
step   320 | lm 5.151 | pred 4.279 | 1217 tok/s
step   340 | lm 4.898 | pred 4.275 | 1218 tok/s
step   360 | lm 4.839 | pred 4.271 | 1219 tok/s
step   380 | lm 4.901 | pred 4.278 | 1220 tok/s
step   400 | lm 5.105 | pred 4.268 | 1221 tok/s
step   420 | lm 4.993 | pred 4.270 | 1222 tok/s
step   440 | lm 4.815 | pred 4.273 | 1223 tok/s
step   460 | lm 5.526 | pred 4.270 | 1224 tok/s
step   480 | lm 4.948 | pred 4.270 | 1224 tok/s
step   500 | lm 4.932 | pred 4.274 | 1225 tok/s
step   520 | lm 4.889 | pred 4.271 | 1225 tok/s
step   540 | lm 5.159 | pred 4.272 | 1226 tok/s
step   560 | lm 4.438 | pred 4.275 | 1226 tok/s
step   580 | lm 4.863 | pred 4.266 | 1226 tok/s
step   600 | lm 4.512 | pred 4.271 | 1227 tok/s
step   620 | lm 4.282 | pred 4.272 | 1227 tok/s
step   640 | lm 4.621 | pred 4.276 | 1227 tok/s
step   660 | lm 4.578 | pred 4.274 | 1228 tok/s
step   680 | lm 4.845 | pred 4.274 | 1228 tok/s
step   700 | lm 4.825 | pred 4.271 | 1228 tok/s
step   720 | lm 5.151 | pred 4.271 | 1229 tok/s
step   740 | lm 5.177 | pred 4.269 | 1229 tok/s
step   760 | lm 4.478 | pred 4.277 | 1229 tok/s
step   780 | lm 4.341 | pred 4.282 | 1230 tok/s
step   800 | lm 4.405 | pred 4.276 | 1230 tok/s
step   820 | lm 4.934 | pred 4.272 | 1230 tok/s
step   840 | lm 4.337 | pred 4.278 | 1230 tok/s
step   860 | lm 4.569 | pred 4.284 | 1230 tok/s
step   880 | lm 4.365 | pred 4.276 | 1231 tok/s
step   900 | lm 4.971 | pred 4.281 | 1231 tok/s
step   920 | lm 4.504 | pred 4.276 | 1231 tok/s
step   940 | lm 4.627 | pred 4.273 | 1231 tok/s
step   960 | lm 4.875 | pred 4.277 | 1232 tok/s
step   980 | lm 4.457 | pred 4.274 | 1232 tok/s
  eval step 1000: lm 4.508 pred 4.274 hit@k [h1: 0.124 | h2: 0.123 | h4: 0.123] | ent 3.852 persist 0.125 util_max 0.063
step  1000 | lm 4.274 | pred 4.273 | 1221 tok/s
step  1020 | lm 4.833 | pred 4.273 | 1221 tok/s
step  1040 | lm 4.342 | pred 4.275 | 1222 tok/s
step  1060 | lm 4.485 | pred 4.277 | 1222 tok/s
step  1080 | lm 4.737 | pred 4.274 | 1223 tok/s
step  1100 | lm 4.824 | pred 4.272 | 1223 tok/s
step  1120 | lm 4.748 | pred 4.270 | 1223 tok/s
step  1140 | lm 4.368 | pred 4.275 | 1223 tok/s
step  1160 | lm 4.341 | pred 4.278 | 1224 tok/s
step  1180 | lm 4.463 | pred 4.273 | 1224 tok/s
step  1200 | lm 4.390 | pred 4.285 | 1224 tok/s
step  1220 | lm 4.829 | pred 4.279 | 1224 tok/s
step  1240 | lm 4.389 | pred 4.274 | 1225 tok/s
step  1260 | lm 4.538 | pred 4.274 | 1225 tok/s
step  1280 | lm 4.529 | pred 4.274 | 1225 tok/s
step  1300 | lm 4.642 | pred 4.272 | 1225 tok/s
step  1320 | lm 4.910 | pred 4.274 | 1226 tok/s
step  1340 | lm 3.755 | pred 4.275 | 1226 tok/s
step  1360 | lm 4.723 | pred 4.272 | 1226 tok/s
step  1380 | lm 4.665 | pred 4.282 | 1226 tok/s
step  1400 | lm 5.468 | pred 4.278 | 1226 tok/s
step  1420 | lm 4.517 | pred 4.277 | 1226 tok/s
step  1440 | lm 4.674 | pred 4.272 | 1227 tok/s
step  1460 | lm 4.726 | pred 4.286 | 1227 tok/s
step  1480 | lm 4.465 | pred 4.278 | 1227 tok/s
step  1500 | lm 4.636 | pred 4.271 | 1227 tok/s
step  1520 | lm 4.620 | pred 4.274 | 1227 tok/s
step  1540 | lm 4.596 | pred 4.275 | 1228 tok/s
step  1560 | lm 4.736 | pred 4.275 | 1228 tok/s
step  1580 | lm 4.808 | pred 4.272 | 1228 tok/s
