Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 3 files:   0%|          | 0/3 [00:00<?, ?it/s]Fetching 3 files: 100%|██████████| 3/3 [00:00<00:00, 77195.78it/s]
Loading weights:   0%|          | 0/179 [00:00<?, ?it/s]Loading weights:   2%|▏         | 4/179 [00:00<00:06, 28.89it/s]Loading weights:   9%|▉         | 16/179 [00:00<00:02, 64.90it/s]Loading weights:  21%|██        | 38/179 [00:00<00:01, 114.34it/s]Loading weights:  34%|███▎      | 60/179 [00:00<00:00, 130.28it/s]Loading weights:  46%|████▌     | 82/179 [00:00<00:00, 145.53it/s]Loading weights:  58%|█████▊    | 104/179 [00:00<00:00, 154.72it/s]Loading weights:  70%|███████   | 126/179 [00:00<00:00, 160.02it/s]Loading weights:  80%|███████▉  | 143/179 [00:01<00:00, 87.28it/s] Loading weights:  88%|████████▊ | 158/179 [00:01<00:00, 85.18it/s]Loading weights:  95%|█████████▍| 170/179 [00:01<00:00, 88.48it/s]Loading weights: 100%|██████████| 179/179 [00:01<00:00, 108.36it/s]
mode=joint lambda_pred=0.0 horizons=(1, 2, 4) | trainable 11.7M / 7.05B
step     0 | lm 2.231 | pred 4.268 | 674 tok/s
step    20 | lm 1.985 | pred 4.279 | 1182 tok/s
step    40 | lm 1.987 | pred 4.279 | 1212 tok/s
step    60 | lm 2.262 | pred 4.278 | 1228 tok/s
step    80 | lm 2.386 | pred 4.279 | 1234 tok/s
step   100 | lm 2.123 | pred 4.275 | 1237 tok/s
step   120 | lm 1.799 | pred 4.284 | 1240 tok/s
step   140 | lm 2.165 | pred 4.279 | 1241 tok/s
step   160 | lm 2.178 | pred 4.280 | 1243 tok/s
step   180 | lm 2.327 | pred 4.275 | 1243 tok/s
step   200 | lm 2.344 | pred 4.278 | 1244 tok/s
step   220 | lm 2.404 | pred 4.279 | 1244 tok/s
step   240 | lm 2.638 | pred 4.276 | 1246 tok/s
step   260 | lm 1.535 | pred 4.283 | 1246 tok/s
step   280 | lm 2.673 | pred 4.277 | 1247 tok/s
step   300 | lm 1.709 | pred 4.277 | 1247 tok/s
step   320 | lm 2.540 | pred 4.281 | 1248 tok/s
step   340 | lm 2.420 | pred 4.277 | 1249 tok/s
step   360 | lm 2.529 | pred 4.275 | 1249 tok/s
step   380 | lm 2.283 | pred 4.279 | 1249 tok/s
step   400 | lm 2.238 | pred 4.277 | 1249 tok/s
step   420 | lm 2.361 | pred 4.279 | 1250 tok/s
step   440 | lm 2.249 | pred 4.279 | 1250 tok/s
step   460 | lm 2.797 | pred 4.280 | 1250 tok/s
step   480 | lm 2.265 | pred 4.277 | 1250 tok/s
step   500 | lm 2.380 | pred 4.280 | 1250 tok/s
step   520 | lm 2.149 | pred 4.279 | 1251 tok/s
step   540 | lm 2.689 | pred 4.279 | 1251 tok/s
step   560 | lm 1.921 | pred 4.283 | 1251 tok/s
step   580 | lm 2.805 | pred 4.277 | 1251 tok/s
step   600 | lm 2.373 | pred 4.277 | 1251 tok/s
step   620 | lm 1.876 | pred 4.277 | 1251 tok/s
step   640 | lm 2.059 | pred 4.279 | 1252 tok/s
step   660 | lm 2.262 | pred 4.280 | 1252 tok/s
step   680 | lm 2.125 | pred 4.278 | 1252 tok/s
step   700 | lm 2.343 | pred 4.276 | 1252 tok/s
step   720 | lm 2.529 | pred 4.277 | 1252 tok/s
step   740 | lm 2.885 | pred 4.277 | 1252 tok/s
step   760 | lm 2.043 | pred 4.284 | 1253 tok/s
step   780 | lm 1.870 | pred 4.284 | 1253 tok/s
step   800 | lm 1.828 | pred 4.280 | 1253 tok/s
step   820 | lm 2.304 | pred 4.275 | 1253 tok/s
step   840 | lm 1.998 | pred 4.284 | 1253 tok/s
step   860 | lm 1.647 | pred 4.287 | 1253 tok/s
step   880 | lm 2.085 | pred 4.280 | 1253 tok/s
step   900 | lm 2.054 | pred 4.284 | 1253 tok/s
step   920 | lm 2.099 | pred 4.278 | 1253 tok/s
step   940 | lm 2.190 | pred 4.279 | 1253 tok/s
step   960 | lm 2.422 | pred 4.283 | 1253 tok/s
step   980 | lm 2.113 | pred 4.277 | 1254 tok/s
  eval step 1000: lm 2.116 pred 4.279 hit@k [h1: 0.125 | h2: 0.124 | h4: 0.126] | ent 3.743 persist 0.125 util_max 0.055
step  1000 | lm 1.931 | pred 4.281 | 1242 tok/s
step  1020 | lm 2.049 | pred 4.279 | 1243 tok/s
step  1040 | lm 2.018 | pred 4.282 | 1243 tok/s
step  1060 | lm 2.001 | pred 4.283 | 1243 tok/s
step  1080 | lm 2.313 | pred 4.278 | 1243 tok/s
step  1100 | lm 2.534 | pred 4.279 | 1244 tok/s
step  1120 | lm 2.440 | pred 4.277 | 1244 tok/s
step  1140 | lm 1.741 | pred 4.276 | 1244 tok/s
step  1160 | lm 2.112 | pred 4.282 | 1244 tok/s
step  1180 | lm 1.975 | pred 4.280 | 1244 tok/s
step  1200 | lm 1.266 | pred 4.287 | 1244 tok/s
step  1220 | lm 2.315 | pred 4.281 | 1245 tok/s
step  1240 | lm 1.990 | pred 4.277 | 1245 tok/s
step  1260 | lm 2.381 | pred 4.276 | 1245 tok/s
step  1280 | lm 2.302 | pred 4.278 | 1245 tok/s
step  1300 | lm 2.241 | pred 4.273 | 1245 tok/s
step  1320 | lm 2.390 | pred 4.283 | 1245 tok/s
step  1340 | lm 1.942 | pred 4.283 | 1246 tok/s
step  1360 | lm 2.519 | pred 4.274 | 1246 tok/s
step  1380 | lm 2.559 | pred 4.285 | 1246 tok/s
step  1400 | lm 2.898 | pred 4.278 | 1246 tok/s
step  1420 | lm 2.147 | pred 4.283 | 1246 tok/s
step  1440 | lm 2.440 | pred 4.276 | 1246 tok/s
step  1460 | lm 1.694 | pred 4.284 | 1246 tok/s
step  1480 | lm 2.271 | pred 4.281 | 1246 tok/s
step  1500 | lm 2.540 | pred 4.276 | 1247 tok/s
step  1520 | lm 2.224 | pred 4.279 | 1247 tok/s
step  1540 | lm 2.227 | pred 4.275 | 1247 tok/s
step  1560 | lm 2.419 | pred 4.279 | 1247 tok/s
step  1580 | lm 2.452 | pred 4.274 | 1247 tok/s
step  1600 | lm 2.690 | pred 4.276 | 1247 tok/s
step  1620 | lm 2.221 | pred 4.278 | 1247 tok/s
step  1640 | lm 2.570 | pred 4.279 | 1247 tok/s
step  1660 | lm 1.940 | pred 4.277 | 1248 tok/s
step  1680 | lm 2.113 | pred 4.282 | 1248 tok/s
step  1700 | lm 2.244 | pred 4.280 | 1248 tok/s
step  1720 | lm 1.854 | pred 4.276 | 1248 tok/s
step  1740 | lm 1.815 | pred 4.283 | 1248 tok/s
step  1760 | lm 2.586 | pred 4.277 | 1248 tok/s
step  1780 | lm 2.099 | pred 4.276 | 1248 tok/s
step  1800 | lm 2.515 | pred 4.277 | 1248 tok/s
step  1820 | lm 2.131 | pred 4.275 | 1248 tok/s
step  1840 | lm 2.612 | pred 4.281 | 1248 tok/s
step  1860 | lm 2.060 | pred 4.278 | 1248 tok/s
step  1880 | lm 2.503 | pred 4.274 | 1248 tok/s
step  1900 | lm 1.319 | pred 4.282 | 1248 tok/s
step  1920 | lm 2.135 | pred 4.271 | 1249 tok/s
step  1940 | lm 2.263 | pred 4.277 | 1249 tok/s
step  1960 | lm 2.010 | pred 4.280 | 1249 tok/s
step  1980 | lm 2.603 | pred 4.278 | 1249 tok/s
  eval step 2000: lm 2.115 pred 4.278 hit@k [h1: 0.125 | h2: 0.124 | h4: 0.126] | ent 3.744 persist 0.125 util_max 0.055
step  2000 | lm 2.265 | pred 4.281 | 1243 tok/s
step  2020 | lm 2.168 | pred 4.279 | 1243 tok/s
step  2040 | lm 2.113 | pred 4.276 | 1244 tok/s
step  2060 | lm 2.274 | pred 4.277 | 1244 tok/s
step  2080 | lm 2.154 | pred 4.283 | 1244 tok/s
step  2100 | lm 2.345 | pred 4.278 | 1244 tok/s
step  2120 | lm 3.108 | pred 4.277 | 1244 tok/s
step  2140 | lm 2.351 | pred 4.279 | 1244 tok/s
step  2160 | lm 2.138 | pred 4.281 | 1244 tok/s
step  2180 | lm 2.143 | pred 4.280 | 1244 tok/s
step  2200 | lm 2.346 | pred 4.275 | 1244 tok/s
step  2220 | lm 1.594 | pred 4.276 | 1244 tok/s
step  2240 | lm 1.854 | pred 4.282 | 1245 tok/s
step  2260 | lm 1.892 | pred 4.286 | 1245 tok/s
step  2280 | lm 2.373 | pred 4.280 | 1245 tok/s
step  2300 | lm 2.620 | pred 4.276 | 1245 tok/s
step  2320 | lm 2.599 | pred 4.276 | 1245 tok/s
step  2340 | lm 2.402 | pred 4.273 | 1245 tok/s
step  2360 | lm 2.168 | pred 4.278 | 1245 tok/s
step  2380 | lm 2.122 | pred 4.277 | 1245 tok/s
step  2400 | lm 2.110 | pred 4.278 | 1245 tok/s
step  2420 | lm 1.939 | pred 4.276 | 1245 tok/s
step  2440 | lm 2.206 | pred 4.278 | 1245 tok/s
step  2460 | lm 1.905 | pred 4.277 | 1245 tok/s
step  2480 | lm 2.487 | pred 4.279 | 1245 tok/s
step  2500 | lm 2.068 | pred 4.286 | 1246 tok/s
step  2520 | lm 2.263 | pred 4.280 | 1246 tok/s
step  2540 | lm 2.355 | pred 4.277 | 1246 tok/s
step  2560 | lm 2.017 | pred 4.281 | 1246 tok/s
step  2580 | lm 2.253 | pred 4.277 | 1246 tok/s
step  2600 | lm 2.451 | pred 4.279 | 1246 tok/s
step  2620 | lm 2.219 | pred 4.276 | 1246 tok/s
step  2640 | lm 2.155 | pred 4.275 | 1246 tok/s
step  2660 | lm 3.271 | pred 4.289 | 1246 tok/s
step  2680 | lm 3.099 | pred 4.276 | 1246 tok/s
step  2700 | lm 2.044 | pred 4.278 | 1246 tok/s
step  2720 | lm 2.317 | pred 4.281 | 1246 tok/s
step  2740 | lm 2.206 | pred 4.278 | 1246 tok/s
step  2760 | lm 2.394 | pred 4.270 | 1246 tok/s
step  2780 | lm 2.500 | pred 4.278 | 1246 tok/s
