Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 3 files:   0%|          | 0/3 [00:00<?, ?it/s]Fetching 3 files: 100%|██████████| 3/3 [00:00<00:00, 18613.78it/s]
Loading weights:   0%|          | 0/179 [00:00<?, ?it/s]Loading weights:   2%|▏         | 4/179 [00:00<00:26,  6.71it/s]Loading weights:   9%|▉         | 16/179 [00:00<00:06, 26.85it/s]Loading weights:  21%|██        | 38/179 [00:00<00:02, 57.85it/s]Loading weights:  27%|██▋       | 49/179 [00:01<00:01, 66.03it/s]Loading weights:  33%|███▎      | 59/179 [00:01<00:02, 41.38it/s]Loading weights:  37%|███▋      | 66/179 [00:01<00:02, 42.71it/s]Loading weights:  40%|████      | 72/179 [00:01<00:02, 44.83it/s]Loading weights:  52%|█████▏    | 93/179 [00:01<00:01, 70.71it/s]Loading weights:  58%|█████▊    | 104/179 [00:01<00:00, 78.60it/s]Loading weights:  64%|██████▎   | 114/179 [00:02<00:00, 81.72it/s]Loading weights:  69%|██████▉   | 124/179 [00:02<00:01, 44.64it/s]Loading weights:  74%|███████▎  | 132/179 [00:02<00:00, 48.92it/s]Loading weights:  82%|████████▏ | 147/179 [00:02<00:00, 65.07it/s]Loading weights:  89%|████████▉ | 159/179 [00:02<00:00, 67.70it/s]Loading weights: 100%|██████████| 179/179 [00:03<00:00, 59.04it/s]
mode=posthoc lambda_pred=1.0 horizons=(1, 2, 4) | trainable 177.4M / 7.22B
step     0 | lm 2.224 | pred 1.892 | 1263 tok/s
step    20 | lm 1.969 | pred 1.839 | 1879 tok/s
step    40 | lm 1.948 | pred 1.722 | 1900 tok/s
step    60 | lm 2.189 | pred 1.623 | 1907 tok/s
step    80 | lm 2.323 | pred 1.551 | 1914 tok/s
step   100 | lm 2.092 | pred 1.396 | 1919 tok/s
step   120 | lm 1.754 | pred 1.403 | 1923 tok/s
step   140 | lm 2.129 | pred 1.343 | 1926 tok/s
step   160 | lm 2.145 | pred 1.293 | 1927 tok/s
step   180 | lm 2.267 | pred 1.261 | 1929 tok/s
step   200 | lm 2.308 | pred 1.226 | 1930 tok/s
step   220 | lm 2.363 | pred 1.220 | 1931 tok/s
step   240 | lm 2.602 | pred 1.200 | 1934 tok/s
step   260 | lm 1.521 | pred 1.199 | 1935 tok/s
step   280 | lm 2.641 | pred 1.175 | 1935 tok/s
step   300 | lm 1.648 | pred 1.196 | 1936 tok/s
step   320 | lm 2.462 | pred 1.176 | 1936 tok/s
step   340 | lm 2.389 | pred 1.154 | 1936 tok/s
step   360 | lm 2.483 | pred 1.158 | 1936 tok/s
step   380 | lm 2.228 | pred 1.140 | 1936 tok/s
step   400 | lm 2.174 | pred 1.152 | 1936 tok/s
step   420 | lm 2.309 | pred 1.143 | 1937 tok/s
step   440 | lm 2.204 | pred 1.134 | 1936 tok/s
step   460 | lm 2.746 | pred 1.147 | 1936 tok/s
step   480 | lm 2.193 | pred 1.128 | 1937 tok/s
  eval step 500: lm 2.113 pred 1.137 hit@k [h1: 0.792 | h2: 0.756 | h4: 0.704] | ent 3.748 persist 0.125 util_max 0.055
step   500 | lm 2.332 | pred 1.126 | 1870 tok/s
step   520 | lm 2.105 | pred 1.136 | 1872 tok/s
step   540 | lm 2.631 | pred 1.120 | 1875 tok/s
step   560 | lm 1.882 | pred 1.117 | 1877 tok/s
step   580 | lm 2.747 | pred 1.124 | 1879 tok/s
step   600 | lm 2.341 | pred 1.104 | 1881 tok/s
step   620 | lm 1.822 | pred 1.115 | 1883 tok/s
step   640 | lm 2.019 | pred 1.109 | 1885 tok/s
step   660 | lm 2.222 | pred 1.107 | 1887 tok/s
step   680 | lm 2.088 | pred 1.108 | 1889 tok/s
step   700 | lm 2.307 | pred 1.106 | 1890 tok/s
step   720 | lm 2.484 | pred 1.108 | 1892 tok/s
step   740 | lm 2.828 | pred 1.111 | 1893 tok/s
step   760 | lm 2.005 | pred 1.093 | 1895 tok/s
step   780 | lm 1.836 | pred 1.102 | 1896 tok/s
step   800 | lm 1.772 | pred 1.103 | 1897 tok/s
step   820 | lm 2.263 | pred 1.104 | 1898 tok/s
step   840 | lm 1.950 | pred 1.085 | 1899 tok/s
step   860 | lm 1.618 | pred 1.089 | 1900 tok/s
step   880 | lm 2.043 | pred 1.092 | 1902 tok/s
step   900 | lm 1.933 | pred 1.096 | 1903 tok/s
step   920 | lm 2.039 | pred 1.088 | 1903 tok/s
step   940 | lm 2.120 | pred 1.120 | 1904 tok/s
step   960 | lm 2.360 | pred 1.091 | 1905 tok/s
step   980 | lm 2.065 | pred 1.086 | 1906 tok/s
